ESTUDIANTE,promedio_general,promedio_mediana,promedio_min,promedio_max,promedio_std,asistencia_promedio,asistencia_mediana,asistencia_min,asistencia_max,asistencia_std,total_materias,materias_aprobadas,materias_reprobadas,tasa_aprobacion,tasa_reprobacion,max_vez_cursada,promedio_vez_cursada,materias_repetidas,nivel_max,nivel_min,num_periodos,num_materias_distintas,avance_niveles,num_periodos_regulares,materias_nota_cero,materias_asist_cero,materias_nota_menor5,materias_asist_menor50,pct_nota_cero,pct_asist_cero,materias_ingles,registros_especiales,materias_prom_periodo,materias_max_periodo,prom_primer,asist_primer,prom_ultimo,asist_ultimo,cambio_promedio,cambio_asistencia,DESERTOR
Estudiante 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,7,0,7,0.0,1.0,1,1.0,0,1,1,1,7,0,1,7,7,7,7,1.0,1.0,0,0,7.0,7,0.0,0.0,0.0,0.0,0.0,0.0,1
Estudiante 10,9.17625,9.165,8.26,10.0,0.48134360561522654,86.5625,100.0,0,100,33.90962252812614,16,16,0,1.0,0.0,1,1.0,0,2,1,4,16,1,2,0,2,0,2,0.0,0.125,2,2,4.0,7,9.072857142857142,98.42857142857143,9.0,0.0,-0.07285714285714207,-98.42857142857143,0
Estudiante 100,8.154347826086957,8.15,5.9,9.35,0.8256503006553876,80.52173913043478,92.0,0,100,32.572812931837646,23,22,1,0.9565217391304348,0.043478260869565216,2,1.0434782608695652,1,4,1,4,22,3,4,0,3,0,3,0.0,0.13043478260869565,0,3,5.75,7,8.416,95.6,8.26,80.85714285714286,-0.15600000000000058,-14.742857142857133,0
Estudiante 101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,1,0.0,1.0,1,1.0,0,1,1,1,1,0,1,1,1,1,1,1.0,1.0,0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
Estudiante 102,7.43,7.43,7.43,7.43,0.0,90.0,90.0,90,90,0.0,1,1,0,1.0,0.0,1,1.0,0,1,1,1,1,0,1,0,0,0,0,0.0,0.0,0,0,1.0,1,7.43,90.0,7.43,90.0,0.0,0.0,1
Estudiante 103,9.0,9.0,9.0,9.0,0.0,97.0,97.0,97,97,0.0,1,1,0,1.0,0.0,1,1.0,0,1,1,1,1,0,1,0,0,0,0,0.0,0.0,0,0,1.0,1,9.0,97.0,9.0,97.0,0.0,0.0,1
Estudiante 104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,1,0.0,1.0,1,1.0,0,1,1,1,1,0,1,1,1,1,1,1.0,1.0,0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
Estudiante 105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,1,0.0,1.0,1,1.0,0,1,1,1,1,0,1,1,1,1,1,1.0,1.0,0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
Estudiante 106,8.13,8.56,5.22,10.0,1.5823927030502472,96.0,100.0,88,100,5.656854249492381,7,6,1,0.8571428571428571,0.14285714285714285,1,1.0,0,1,1,2,7,0,2,0,0,0,0,0.0,0.0,0,0,3.5,6,7.44,100.0,8.245,95.33333333333333,0.8049999999999988,-4.666666666666671,0
Estudiante 107,8.953181818181818,8.95,7.24,9.91,0.6548528468917664,88.81818181818181,100.0,0,100,28.939405271863787,22,22,0,1.0,0.0,1,1.0,0,3,1,5,22,2,3,0,2,0,2,0.0,0.09090909090909091,2,2,4.4,7,9.151428571428571,97.28571428571429,8.48,0.0,-0.6714285714285708,-97.28571428571429,0
